Provider Number;Hospital Name;City;State;County Name;DeathRatesHeartAttack;DeathRatesHeartFailure;DeathRatesPneumonia
140101;MORRIS HOSPITAL & HEALTHCARE CENTERS;MORRIS;IL;GRUNDY;16,6;11,9;13,9
140103;ST BERNARD HOSPITAL;CHICAGO;IL;COOK;;10;12,7
140110;OTTAWA REGIONAL HOSPITAL & HEALTHCARE CENTER;OTTAWA;IL;LA SALLE;17,3;12,7;13,4
140113;PROVENA COVENANT MEDICAL CENTER- URBANA;URBANA;IL;CHAMPAIGN;14,6;11,4;12,6
140114;SWEDISH COVENANT HOSPITAL;CHICAGO;IL;COOK;14;9,8;9
140115;THOREK MEMORIAL HOSPITAL;CHICAGO;IL;COOK;15,8;9,6;10,7
140116;CENTEGRA HEALTH SYSTEM - MC HENRY HOSPITAL;MCHENRY;IL;MCHENRY;13,3;11,5;11,8
140117;RESURRECTION MEDICAL CENTER;CHICAGO;IL;COOK;14,7;10,2;9,9
140118;METROSOUTH MEDICAL CENTER;BLUE ISLAND;IL;COOK;14,2;8,8;10,3
140119;RUSH UNIVERSITY MEDICAL CENTER;CHICAGO;IL;COOK;14,5;6,8;9,5
140120;PEKIN MEMORIAL HOSPITAL;PEKIN;IL;TAZEWELL;15,4;13,7;13,8
140122;HINSDALE HOSPITAL;HINSDALE;IL;DUPAGE;12,3;9,9;9,4
140124;JOHN H STROGER JR HOSPITAL;CHICAGO;IL;COOK;15,5;9,8;10,9
140125;GATEWAY REGIONAL MEDICAL CENTER;GRANITE CITY;IL;MADISON;17,2;10,8;14,1
140127;BROMENN HEALTHCARE;NORMAL;IL;MCLEAN;14,3;14,3;14,2
140130;LAKE FOREST HOSPITAL;LAKE FOREST;IL;LAKE;14,2;11,1;7,9
140133;HOLY CROSS HOSPITAL;CHICAGO;IL;COOK;16,5;11,4;11,7
140135;DECATUR MEMORIAL HOSPITAL;DECATUR;IL;MACON;16,8;14;12,6
140137;GREENVILLE REGIONAL HOSPITAL;GREENVILLE;IL;BOND;;12,6;9,9
140143;ST MARGARETS HOSPITAL;SPRING VALLEY;IL;BUREAU;;11,5;13,4
140145;ST JOSEPHS HOSPITAL;BREESE;IL;CLINTON;;13,4;12,4
140147;RICHLAND MEMORIAL HOSPITAL;OLNEY;IL;RICHLAND;16,1;13,1;10,4
140148;MEMORIAL MEDICAL CENTER;SPRINGFIELD;IL;SANGAMON;14,9;13,1;12,6
140150;UNIVERSITY OF ILLINOIS HOSPITAL;CHICAGO;IL;COOK;15,9;10,1;10,3
140151;SACRED HEART HOSPITAL;CHICAGO;IL;COOK;;7,6;
140155;PROVENA ST MARYS HOSPITAL;KANKAKEE;IL;KANKAKEE;14,5;9,7;9,3
140158;MERCY HOSPITAL AND MEDICAL CENTER;CHICAGO;IL;COOK;14,1;9;12
140160;FHN MEMORIAL HOSPITAL;FREEPORT;IL;STEPHENSON;16,1;14,8;12,9
140161;SAINT JAMES HOSPITAL;PONTIAC;IL;LIVINGSTON;;12,7;11,9
140162;ST JOSEPH MEDICAL CENTER;BLOOMINGTON;IL;MCLEAN;17,5;15,4;12,7
140164;MEMORIAL HOSPITAL OF CARBONDALE;CARBONDALE;IL;JACKSON;14;11,7;13,3
140166;ST MARYS HOSPITAL;DECATUR;IL;MACON;16,1;11;12
140167;IROQUOIS MEMORIAL HOSPITAL;WATSEKA;IL;IROQUOIS;15,4;11,9;11,5
140172;FRANCISCAN ST JAMES HEALTH;OLYMPIA FIELDS;IL;COOK;16,1;7,4;11,5
140174;PROVENA MERCY MEDICAL CENTER;AURORA;IL;KANE;16,3;11,7;10,4
140176;CENTEGRA HEALTH SYSTEM - WOODSTOCK HOSPITAL;WOODSTOCK;IL;MCHENRY;14,5;11,6;12,1
140177;JACKSON PARK HOSPITAL;CHICAGO;IL;COOK;15,6;11,3;11,4
140179;LITTLE COMPANY OF MARY HOSPITAL;EVERGREEN PARK;IL;COOK;12,1;10,4;11,1
140180;ST MARY & ELIZABETH MED CTR-DIVISION CAMPUS;CHICAGO;IL;COOK;13,9;7,8;10
140181;SOUTH SHORE HOSPITAL;CHICAGO;IL;COOK;17,4;8,7;10,2
140182;ADVOCATE ILLINOIS MASONIC MEDICAL CENTER;CHICAGO;IL;COOK;15,7;8,5;11,5
140184;HEARTLAND REGIONAL MEDICAL CENTER;MARION;IL;WILLIAMSON;14,9;10,9;13,4
140185;MEMORIAL HOSPITAL;BELLEVILLE;IL;SAINT CLAIR;14,6;11,2;13,4
140186;RIVERSIDE MEDICAL CENTER;KANKAKEE;IL;KANKAKEE;16,2;10,6;10,7
140187;ST ELIZABETH HOSPITAL;BELLEVILLE;IL;SAINT CLAIR;15,8;12,6;12,8
140189;SARAH BUSH LINCOLN HEALTH CENTER;MATTOON;IL;COLES;15,4;11,7;10,9
140191;INGALLS MEMORIAL HOSPITAL;HARVEY;IL;COOK;13,1;8,1;9,3
140197;METHODIST HOSPITAL OF CHICAGO;CHICAGO;IL;COOK;;11,3;9,6
140200;ELMHURST MEMORIAL HOSPITAL;ELMHURST;IL;DUPAGE;13,7;11,1;8,6
140202;ADVOCATE CONDELL MEDICAL CENTER;LIBERTYVILLE;IL;LAKE;14,6;11,1;12,2
140206;NORWEGIAN-AMERICAN HOSPITAL;CHICAGO;IL;COOK;16,3;9,5;12,5
140208;ADVOCATE CHRIST HOSPITAL & MEDICAL CENTER;OAK LAWN;IL;COOK;13,9;9,8;9,6
140209;METHODIST MEDICAL CENTER OF ILLINOIS;PEORIA;IL;PEORIA;14,9;11,7;10,7
140210;HARRISBURG MEDICAL CENTER;HARRISBURG;IL;SALINE;16,1;11,7;12
140211;DELNOR COMMUNITY HOSPITAL;GENEVA;IL;KANE;14,6;11,2;10,6
140213;SILVER CROSS HOSPITAL  AND MEDICAL CENTERS;NEW LENOX;IL;WILL;16;10,1;11,3
140217;PROVENA - SAINT JOSEPH HOSPITAL;ELGIN;IL;KANE;14;12,1;10,1
140223;ADVOCATE LUTHERAN GENERAL HOSPITAL;PARK RIDGE;IL;COOK;14,9;13,3;11,9
140224;SAINT JOSEPH HOSPITAL;CHICAGO;IL;COOK;11;7,1;8,7
140228;SWEDISH AMERICAN HOSPITAL;ROCKFORD;IL;WINNEBAGO;13,3;12,1;10,5
140231;EDWARD HOSPITAL;NAPERVILLE;IL;DUPAGE;12,8;10,2;10,9
140233;SAINT ANTHONY MEDICAL CENTER;ROCKFORD;IL;WINNEBAGO;18,9;12,9;11,9
140234;ILLINOIS VALLEY COMMUNITY HOSPITAL;PERU;IL;LA SALLE;16,5;10,8;13,1
140239;ROCKFORD MEMORIAL HOSPITAL;ROCKFORD;IL;WINNEBAGO;13,5;13,5;11,6
140240;WESTLAKE COMMUNITY HOSPITAL;MELROSE PARK;IL;COOK;15,3;11,9;11,8
140242;CENTRAL DUPAGE HOSPITAL;WINFIELD;IL;DUPAGE;13,8;12,1;11,8
140250;ADVOCATE SOUTH SUBURBAN HOSPITAL;HAZEL CREST;IL;COOK;16,4;9,5;9,6
140251;OUR LADY OF THE RESURRECTION MED CTR;CHICAGO;IL;COOK;15;11,5;13,8
140252;NORTHWEST COMMUNITY HOSPITAL;ARLINGTON HEIGHTS;IL;COOK;14,7;11,9;12,8
140258;ALEXIAN BROTHERS MEDICAL CENTER;ELK GROVE VILLAGE;IL;COOK;11,5;8,4;9,6
140275;GENESIS MEDICAL CENTER ILLINI CAMPUS;SILVIS;IL;ROCK ISLAND;15,7;12;12,7
140276;LOYOLA UNIVERSITY MEDICAL CENTER;MAYWOOD;IL;COOK;13,8;8,6;12,8
140280;TRINITY ROCK ISLAND;ROCK ISLAND;IL;ROCK ISLAND;12,6;11,3;13,1
140281;NORTHWESTERN MEMORIAL HOSPITAL;CHICAGO;IL;COOK;11,9;8,8;11,2
140286;KISHWAUKEE COMMUNITY HOSPITAL;DEKALB;IL;DEKALB;15,9;12;13,2
140288;ADVOCATE GOOD SAMARITAN HOSPITAL;DOWNERS GROVE;IL;DUPAGE;16,6;9,5;11,3
140289;ANDERSON HOSPITAL;MARYVILLE;IL;MADISON;15,3;13,2;14,1
140290;ST ALEXIUS MEDICAL CENTER;HOFFMAN ESTATES;IL;COOK;13,8;7,7;9,5
140291;ADVOCATE GOOD SHEPHERD HOSPITAL;BARRINGTON;IL;LAKE;13;10,4;13,5
140292;ADVENTIST GLENOAKS;GLENDALE HEIGHTS;IL;DUPAGE;14,1;12,3;11,2
140294;CROSSROADS COMMUNITY HOSPITAL;MOUNT VERNON;IL;JEFFERSON;;10,6;9,8
140300;PROVIDENT HOSPITAL OF CHICAGO;CHICAGO;IL;COOK;;10,3;11,2
140304;ADVENTIST BOLINGBROOK HOSPITAL;BOLINGBROOK;IL;WILL;14,4;11,5;12,2
14034F;NORTH CHICAGO VA MEDICAL CENTER;NORTH CHICAGO                 ;IL;LAKE;15,2;11;14,8
141300;THOMAS H BOYD MEMORIAL HOSPITAL;CARROLLTON;IL;GREENE;;12,6;12,5
141301;JOHN & MARY KIRBY HOSPITAL;MONTICELLO;IL;PIATT;;;11,1
141302;MIDWEST MEDICAL CENTER;GALENA;IL;JO DAVIESS;;;
141303;DR JOHN WARNER HOSPITAL;CLINTON;IL;DEWITT;;12,7;12,7
141304;MERCER COUNTY HOSPITAL;ALEDO;IL;MERCER;;13;12,9
141306;COMMUNITY MEMORIAL HOSPITAL;STAUNTON;IL;MACOUPIN;15,4;;12,5
141307;PINCKNEYVILLE COMMUNITY HOSPITAL;PINCKNEYVILLE;IL;PERRY;;11,6;11
141309;ADVOCATE EUREKA  HOSPITAL;EUREKA;IL;WOODFORD;;11,7;13,7
141310;MENDOTA COMMUNITY HOSPITAL;MENDOTA;IL;LA SALLE;16,7;12,5;10,9
141311;FAIRFIELD MEMORIAL HOSPITAL;FAIRFIELD;IL;WAYNE;15,7;10,9;12,3
141312;ROCHELLE COMMUNITY HOSPITAL;ROCHELLE;IL;OGLE;;11,4;11,6
141313;MASON DISTRICT HOSPITAL;HAVANA;IL;MASON;;12,5;13,6
141315;ILLINI COMMUNITY HOSPITAL;PITTSFIELD;IL;PIKE;;12,5;12,1
141316;HOOPESTON COMMUNITY MEMORIAL HOSPITAL;HOOPESTON;IL;VERMILION;;11,2;14,6
141317;GIBSON COMMUNITY HOSPITAL;GIBSON CITY;IL;FORD;;11;10,5
141318;OSF HOLY FAMILY MEDICAL CENTER;MONMOUTH;IL;WARREN;;12,2;13,5
141319;HAMMOND HENRY HOSPITAL;GENESEO;IL;HENRY;;12,3;14,5
141320;PARIS COMMUNITY HOSPITAL;PARIS;IL;EDGAR;;14,4;11,6
141322;ABRAHAM LINCOLN MEMORIAL HOSPITAL;LINCOLN;IL;LOGAN;;11,8;9,8
141324;FERRELL HOSPITAL COMMUNITY FOUNDATIONS;ELDORADO;IL;SALINE;;13,5;16,1
141325;KEWANEE HOSPITAL;KEWANEE;IL;HENRY;;13,2;15,9
141326;HAMILTON MEMORIAL HOSPITAL DISTRICT;MCLEANSBORO;IL;HAMILTON;;12,7;11,9
141327;WABASH GENERAL HOSPITAL;MOUNT CARMEL;IL;WABASH;;12,8;14,4
141328;HARDIN COUNTY GENERAL HOSPITAL;ROSICLARE;IL;HARDIN;;12,2;10,9
141330;HOPEDALE MEDICAL COMPLEX;HOPEDALE;IL;TAZEWELL;;12,9;11,6
141331;MARSHALL BROWNING HOSPITAL;DU QUOIN;IL;PERRY;;11,5;11,4
141332;HILLSBORO AREA HOSPITAL;HILLSBORO;IL;MONTGOMERY;16;14,4;13,5
141333;SARAH D CULBERTSON MEMORIAL HOSPITAL;RUSHVILLE;IL;SCHUYLER;;11,9;14,7
141334;ST JOSEPH MEMORIAL HOSPITAL;MURPHYSBORO;IL;JACKSON;;11;13
141335;MERCY HARVARD HOSPITAL;HARVARD;IL;MCHENRY;;13,6;13,5
141336;ST JOSEPH'S HOSPITAL;HIGHLAND;IL;MADISON;;11,8;12,8
141337;PERRY MEMORIAL HOSPITAL;PRINCETON;IL;BUREAU;14,8;13,7;16,9
141338;MEMORIAL HOSPITAL;CHESTER;IL;RANDOLPH;;14,1;12,1
141339;TAYLORVILLE MEMORIAL HOSPITAL;TAYLORVILLE;IL;CHRISTIAN;14,9;9,6;10,3
141340;VALLEY WEST COMMUNITY HOSPITAL;SANDWICH;IL;DEKALB;;15,4;14,5
141341;PANA COMMUNITY HOSPITAL;PANA;IL;CHRISTIAN;;11,1;11,4
141342;UNION COUNTY HOSPITAL;ANNA;IL;UNION;;13,2;9,3
141343;CRAWFORD MEMORIAL HOSPITAL;ROBINSON;IL;CRAWFORD;16,9;15,4;11,7
141344;LAWRENCE COUNTY MEMORIAL HOSPITAL;LAWRENCEVILLE;IL;LAWRENCE;;12,5;14
141345;SALEM TOWNSHIP HOSPITAL;SALEM;IL;MARION;;12,2;15,8
141346;FAYETTE COUNTY HOSPITAL;VANDALIA;IL;FAYETTE;;9,3;10,1
141347;CARLINVILLE AREA HOSPITAL;CARLINVILLE;IL;MACOUPIN;;12,6;13,3
141348;RED BUD REGIONAL HOSPITAL;RED BUD;IL;RANDOLPH;;10,6;14,6
141349;SPARTA COMMUNITY HOSPITAL;SPARTA;IL;RANDOLPH;;16,1;13,2
141350;ST FRANCIS HOSPITAL;LITCHFIELD;IL;MONTGOMERY;16,5;14,7;16,2
141351;CLAY COUNTY HOSPITAL;FLORA;IL;CLAY;;12;12,6
150001;JOHNSON MEMORIAL HOSPITAL;FRANKLIN;IN;JOHNSON;15;14,7;11,8
150002;METHODIST HOSPITALS INC;GARY;IN;LAKE;14,3;9;10,8
150003;FRANCISCAN ST ELIZABETH HEALTH - LAFAYETTE CENTRAL;LAFAYETTE;IN;TIPPECANOE;15,4;12,1;12
150004;FRANCISCAN ST MARGARET HEALTH - HAMMOND;HAMMOND;IN;LAKE;14,6;9,5;10
150005;HENDRICKS REGIONAL HEALTH;DANVILLE;IN;HENDRICKS;14;12,3;11,8
150006;INDIANA UNIVERSITY HEALTH LA PORTE HOSPITAL;LA PORTE;IN;LA PORTE;17,9;16,3;16,6
150007;HOWARD REGIONAL HEALTH SYSTEM;KOKOMO;IN;HOWARD;16,4;9,9;9,8
150008;ST CATHERINE HOSPITAL INC;EAST CHICAGO;IN;LAKE;15,2;7,6;10,3
150009;CLARK MEMORIAL HOSPITAL;JEFFERSONVILLE;IN;CLARK;16,1;9,9;10,1
150010;ST JOSEPH HOSPITAL & HEALTH CENTER INC;KOKOMO;IN;HOWARD;16;13;15,5
150011;MARION GENERAL HOSPITAL;MARION;IN;GRANT;18,2;12,5;13,2
150012;SAINT JOSEPH REGIONAL MEDICAL CENTER;MISHAWAKA;IN;ST JOSEPH;16,2;12,6;12,4
150015;FRANCISCAN ST ANTHONY HEALTH - MICHIGAN CITY;MICHIGAN CITY;IN;LA PORTE;15,6;12,8;12,1
150017;LUTHERAN HOSPITAL OF INDIANA;FORT WAYNE;IN;ALLEN;16,6;12,1;11,6
150018;ELKHART GENERAL HOSPITAL;ELKHART;IN;ELKHART;14,3;12;12,9
150021;PARKVIEW REGIONAL MEDICAL CENTER;FORT WAYNE;IN;ALLEN;18;13,1;11,2
150022;FRANCISCAN ST ELIZABETH HEALTH - CRAWFORDSVILLE;CRAWFORDSVILLE;IN;MONTGOMERY;;14,2;11,6
150023;UNION HOSPITAL INC;TERRE HAUTE;IN;VIGO;15,9;13,3;13,4
150024;WILLIAM N WISHARD MEMORIAL HOSPITAL;INDIANAPOLIS;IN;MARION;13,4;10,1;9,3
150026;IU HEALTH GOSHEN HOSPITAL;GOSHEN;IN;ELKHART;15,6;13,9;15,4
150030;HENRY COUNTY MEMORIAL HOSPITAL;NEW CASTLE;IN;HENRY;15,6;11,9;11,7
150033;FRANCISCAN ST FRANCIS HEALTH - BEECH GROVE;BEECH GROVE;IN;MARION;15,9;16,2;13,2
150034;ST MARY MEDICAL CENTER INC;HOBART;IN;LAKE;17;10,3;10,4
150035;PORTER VALPARAISO HOSPITAL;VALPARAISO;IN;PORTER;14,8;13,3;15,4
150037;HANCOCK REGIONAL HOSPITAL;GREENFIELD;IN;HANCOCK;14,8;13,1;12,4
150038;INDIANA UNIVERSITY HEALTH MORGAN HOSPITAL INC;MARTINSVILLE;IN;MORGAN;16,3;12,9;13
15003F;INDIANAPOLIS VA MEDICAL CENTER;INDIANAPOLIS                  ;IN;MARION;15,9;10,2;9,6
150042;GOOD SAMARITAN HOSPITAL;VINCENNES;IN;KNOX;16,7;14,2;10,9
150044;FLOYD MEMORIAL HOSPITAL AND HEALTH SERVICES;NEW ALBANY;IN;FLOYD;15,2;10,3;11,3
150045;DEKALB HEALTH;AUBURN;IN;DE KALB;15,6;13,8;12,2
150046;TERRE HAUTE REGIONAL HOSPITAL;TERRE HAUTE;IN;VIGO;15,4;10,2;12,4
150047;ST JOSEPH HOSPITAL;FORT WAYNE;IN;ALLEN;18;11,7;13
150048;REID HOSPITAL & HEALTH CARE SERVICES;RICHMOND;IN;WAYNE;16;12;9,6
15004F;VA N. INDIANA HEALTHCARE SYSTEM - MARION;MARION                        ;IN;GRANT;;11,9;10,3
150051;INDIANA UNIVERSITY HEALTH BLOOMINGTON HOSPITAL;BLOOMINGTON;IN;MONROE;14,7;14,4;14
150056;INDIANA UNIVERSITY HEALTH;INDIANAPOLIS;IN;MARION;15,4;10,7;8,7
150057;FRANCISCAN ST FRANCIS HEALTH - MOORESVILLE;MOORESVILLE;IN;MORGAN;;11,6;10,4
150058;MEMORIAL HOSPITAL OF SOUTH BEND;SOUTH BEND;IN;ST JOSEPH;15,2;15;14,2
150059;RIVERVIEW HOSPITAL;NOBLESVILLE;IN;HAMILTON;16,8;15,3;13
150061;DAVIESS COMMUNITY HOSPITAL;WASHINGTON;IN;DAVIESS;13,8;13,4;13,4
150064;FAYETTE REGIONAL HEALTH SYSTEM;CONNERSVILLE;IN;FAYETTE;15,7;12,8;11,4
150065;SCHNECK MEDICAL CENTER;SEYMOUR;IN;JACKSON;16,3;13,4;13,1
150069;KING'S DAUGHTERS' HOSPITAL AND HEALTH SERVICES,THE;MADISON;IN;JEFFERSON;15;13,8;11,2
150072;MEMORIAL HOSPITAL;LOGANSPORT;IN;CASS;;14,2;10,7
150074;COMMUNITY HOSPITAL EAST;INDIANAPOLIS;IN;MARION;15,6;15,3;14,8
150075;BLUFFTON REGIONAL MEDICAL CENTER;BLUFFTON;IN;WELLS;16,7;12,1;14,9
150076;SAINT JOSEPH'S REGIONAL MEDICAL CENTER - PLYMOUTH;PLYMOUTH;IN;MARSHALL;15,6;13,3;12,4
150082;DEACONESS HOSPITAL INC;EVANSVILLE;IN;VANDERBURGH;15,7;11,3;12,1
150084;ST VINCENT HOSPITAL & HEALTH SERVICES;INDIANAPOLIS;IN;MARION;14,5;11,1;10,5
150086;DEARBORN COUNTY HOSPITAL;LAWRENCEBURG;IN;DEARBORN;14,9;13,8;12,7
150088;SAINT JOHN'S HEALTH SYSTEM;ANDERSON;IN;MADISON;15,1;13,3;11,6
150089;INDIANA UNIVERSITY HEALTH BALL MEMORIAL HOSPITAL;MUNCIE;IN;DELAWARE;14,5;13;12,2
150090;FRANCISCAN ST MARGARET HEALTH - DYER;DYER;IN;LAKE;16,1;8,6;11,7
150091;PARKVIEW HUNTINGTON HOSPITAL;HUNTINGTON;IN;HUNTINGTON;;11,2;11,5
150097;MAJOR HOSPITAL;SHELBYVILLE;IN;SHELBY;;12,4;10,5
150100;ST MARY'S MEDICAL CENTER OF EVANSVILLE INC;EVANSVILLE;IN;VANDERBURGH;14,4;11,1;10,7
150101;PARKVIEW WHITLEY HOSPITAL;COLUMBIA CITY;IN;WHITLEY;;11,5;13,3
150102;INDIANA UNIVERSITY HEALTH STARKE HOSPITAL;KNOX;IN;STARKE;;12,6;14,8
150104;WITHAM HEALTH SERVICES;LEBANON;IN;BOONE;14,3;12,7;10,5
150109;FRANCISCAN ST ELIZABETH HEALTH - LAFAYETTE EAST;LAFAYETTE;IN;TIPPECANOE;12,3;10;11,7
150112;COLUMBUS REGIONAL HOSPITAL;COLUMBUS;IN;BARTHOLOMEW;16,4;9,8;10,2
150113;COMMUNITY HOSPITAL OF ANDERSON AND MADISON COUNTY;ANDERSON;IN;MADISON;15,8;12,7;11,4
150115;MEMORIAL HOSPITAL AND HEALTH CARE CENTER;JASPER;IN;DUBOIS;14,3;11,7;11,4
150125;COMMUNITY HOSPITAL;MUNSTER;IN;LAKE;14,8;9,5;12,1
150126;FRANCISCAN ST ANTHONY HEALTH - CROWN POINT;CROWN POINT;IN;LAKE;17,9;12,5;13
150128;COMMUNITY HOSPITAL SOUTH;INDIANAPOLIS;IN;MARION;13,6;10,3;9,9
150129;WESTVIEW HOSPITAL;INDIANAPOLIS;IN;MARION;;11,1;9,8
150133;KOSCIUSKO COMMUNITY HOSPITAL;WARSAW;IN;KOSCIUSKO;17,1;12,3;13,8
150146;PARKVIEW NOBLE HOSPITAL;KENDALLVILLE;IN;NOBLE;;11,3;12
150149;WOMEN'S HOSPITAL THE;NEWBURGH;IN;WARRICK;;;
150150;DUPONT HOSPITAL LLC;FORT WAYNE;IN;ALLEN;;10,9;12,6
150153;ST VINCENT HEART CENTER OF INDIANA LLC;INDIANAPOLIS;IN;HAMILTON;11,5;8,2;11,2
150154;INDIANA HEART HOSPITAL THE;INDIANAPOLIS;IN;MARION;15,6;10,4;11,2
150157;ST VINCENT CARMEL HOSPITAL INC;CARMEL;IN;HAMILTON;;11,8;11,7
150158;IU HEALTH WEST HOSPITAL;AVON;IN;HENDRICKS;13,8;9,4;9
150160;INDIANA ORTHOPAEDIC HOSPITAL LLC;INDIANAPOLIS;IN;MARION;;;
150161;INDIANA UNIVERSITY HEALTH NORTH HOSPITAL;CARMEL;IN;HAMILTON;15,4;11,2;10,4
150162;FRANCISCAN ST FRANCIS HEALTH - INDIANAPOLIS;INDIANAPOLIS;IN;MARION;14,5;12,2;9,8
150163;SAINT CATHERINE REGIONAL HOSPITAL;CHARLESTOWN;IN;CLARK;;13,5;12
150164;MONROE HOSPITAL;BLOOMINGTON;IN;MONROE;;10,5;11,1
150165;FRANCISCAN PHYSICIANS HOSPITAL LLC;MUNSTER;IN;LAKE;;12,8;10,7
150166;PINNACLE HOSPITAL;CROWN POINT;IN;LAKE;;11,4;10,8
150167;ORTHOPAEDIC HOSPITAL AT PARKVIEW NORTH LLC;FORT WAYNE;IN;ALLEN;;;
150168;THE ORTHOPAEDIC HOSPITAL OF LUTHERAN HEALTH NETWOR;FT WAYNE;IN;ALLEN;;;
150169;COMMUNITY HOSPITAL NORTH;INDIANAPOLIS;IN;MARION;17,8;14,6;10,9
150172;PHYSICIANS' MEDICAL CENTER LLC;NEW ALBANY;IN;FLOYD;;;
150173;INDIANA UNIVERSITY HEALTH ARNETT HOSPITAL;LAFAYETTE;IN;TIPPECANOE;16,7;12,5;10,5
150175;THE HEART HOSPITAL AT DEACONESS GATEWAY LLC;NEWBURGH;IN;WARRICK;15,2;12,9;
150176;KENTUCKIANA MEDICAL CENTER LLC;CLARKSVILLE;IN;CLARK;;9,8;10,7
150177;UNITY MEDICAL AND SURGICAL HOSPITAL;MISHAWAKA;IN;ST JOSEPH;;;
150178;CANCER CARE PARTNERS LLC;MISHAWAKA;IN;ST JOSEPH;;;
151300;COMMUNITY HOSPITAL OF BREMEN INC;BREMEN;IN;MARSHALL;;11,8;11,3
151301;ST VINCENT RANDOLPH HOSPITAL INC;WINCHESTER;IN;RANDOLPH;;11,3;10,2
151302;INDIANA UNIVERSITY HEALTH BLACKFORD HOSPITAL;HARTFORD CITY;IN;BLACKFORD;;11,3;11,9
151303;ST VINCENT JENNINGS HOSPITAL INC;NORTH VERNON;IN;JENNINGS;;12,2;11,1
151304;RUSH MEMORIAL HOSPITAL;RUSHVILLE;IN;RUSH;;11,6;14,9
151305;PULASKI MEMORIAL HOSPITAL;WINAMAC;IN;PULASKI;;14,4;11,8
151306;INDIANA UNIVERSITY HEALTH PAOLI HOSPITAL;PAOLI;IN;ORANGE;;11,8;13
151307;ST VINCENT WILLIAMSPORT HOSPITAL INC;WILLIAMSPORT;IN;WARREN;;11,2;9,9
151308;ST VINCENT MERCY HOSPITAL;ELWOOD;IN;MADISON;;13,6;12,5
151309;ST VINCENT CLAY HOSPITAL INC;BRAZIL;IN;CLAY;;11,8;13,5
151310;WABASH COUNTY HOSPITAL;WABASH;IN;WABASH;;13,4;12,9
151311;INDIANA UNIVERSITY HEALTH TIPTON HOSPITAL INC;TIPTON;IN;TIPTON;;11,7;13,4
151312;INDIANA UNIVERSITY HEALTH WHITE MEMORIAL HOSPITAL;MONTICELLO;IN;WHITE;;10,4;10,8
151315;CAMERON MEMORIAL COMMUNITY HOSPITAL INC;ANGOLA;IN;STEUBEN;;13,3;12,4
151316;ST VINCENT FRANKFORT HOSPITAL INC;FRANKFORT;IN;CLINTON;;15;13,3
151317;GREENE COUNTY GENERAL HOSPITAL;LINTON;IN;GREENE;;11,5;12
151318;DUKES MEMORIAL HOSPITAL;PERU;IN;MIAMI;17;10,9;13,9
151319;GIBSON GENERAL HOSPITAL;PRINCETON;IN;GIBSON;;12,5;13,7
151320;JAY COUNTY HOSPITAL;PORTLAND;IN;JAY;;11,2;10
151322;PERRY COUNTY MEMORIAL HOSPITAL;TELL CITY;IN;PERRY;;12,7;12,4
151323;PARKVIEW LAGRANGE HOSPITAL;LAGRANGE;IN;LAGRANGE;;13,3;11,1
151324;JASPER COUNTY HOSPITAL;RENSSELAER;IN;JASPER;;13,1;13,7
151325;ST MARY'S WARRICK HOSPITAL INC;BOONVILLE;IN;WARRICK;;12;15,6
151326;UNION HOSPITAL CLINTON;CLINTON;IN;VERMILLION;;12,4;12
151327;SULLIVAN COUNTY COMMUNITY HOSPITAL;SULLIVAN;IN;SULLIVAN;;12,7;13,8
151328;INDIANA UNIVERSITY HEALTH BEDFORD HOSPITAL;BEDFORD;IN;LAWRENCE;14;11,8;13,6
151329;MARGARET MARY COMMUNITY HOSPITAL INC;BATESVILLE;IN;RIPLEY;;10;15,4
151330;ADAMS MEMORIAL HOSPITAL;DECATUR;IN;ADAMS;15,1;12,6;13
151331;HARRISON COUNTY HOSPITAL;CORYDON;IN;HARRISON;16,6;11,7;14,5
151332;DECATUR COUNTY MEMORIAL HOSPITAL;GREENSBURG;IN;DECATUR;;12,7;11,8
151333;PUTNAM COUNTY HOSPITAL;GREENCASTLE;IN;PUTNAM;;12,7;13,7
151334;SCOTT COUNTY  MEMORIAL HOSPITAL AKA SCOTT MEMORIAL;SCOTTSBURG;IN;SCOTT;;12,2;10,5
151335;ST VINCENT DUNN HOSPITAL INC;BEDFORD;IN;LAWRENCE;14,2;13,5;15,1
160001;MARSHALLTOWN MEDICAL & SURGICAL CENTER;MARSHALLTOWN;IA;MARSHALL;15;12,2;14,3
160005;ST ANTHONY REGIONAL HOSPITAL;CARROLL;IA;CARROLL;;12,1;14
160008;KEOKUK AREA HOSPITAL;KEOKUK;IA;LEE;16,2;12,6;15,1
160013;TRINITY MUSCATINE;MUSCATINE;IA;MUSCATINE;16,4;13,1;12,2
160016;TRINITY REGIONAL MEDICAL CENTER;FORT DODGE;IA;WEBSTER;14,2;11,3;10,6
160024;IOWA LUTHERAN HOSPITAL;DES MOINES;IA;POLK;15,5;10;11,9
160028;ALEGENT HEALTH MERCY HOSPITAL;COUNCIL BLUFFS;IA;POTTAWATTAMIE;16;12,7;12,4
160029;MERCY HOSPITAL;IOWA CITY;IA;JOHNSON;14,2;12,5;9,1
160030;MARY GREELEY MEDICAL CENTER;AMES;IA;STORY;12,5;11,3;8,2
160032;SKIFF MEDICAL CENTER;NEWTON;IA;JASPER;;14,5;13,8
160033;GENESIS MEDICAL CENTER-DAVENPORT;DAVENPORT;IA;SCOTT;15;10,1;9,8
